Country Name,Country_Code,health_expenditure_prop_GDP_2019,GDP_PPP_2019,GDP_PPP_2020,GDP_PPP_2021
Germany,DEU,11.69724941,4.62E+12,4.56E+12,4.82E+12
Afghanistan,AFG,13.24220181,81873098235,80911742459,..
Albania,ALB,..,39957029903,38686086931,43991442984
Algeria,DZA,6.24337101,5.17E+11,4.97E+11,5.37E+11
American Samoa,ASM,..,..,..,..
Andorra,AND,6.71158504,..,..,..
Angola,AGO,2.53335953,2.23E+11,2.13E+11,2.23E+11
Antigua and Barbuda,ATG,4.44295979,2211532821,1786243972,1958531523
Argentina,ARG,9.5100708,1.03E+12,9.42E+11,1.08E+12
Armenia,ARM,11.33526421,42088513415,39443691148,43424437526
Aruba,ABW,..,4234776343,3329266442,..
Australia,AUS,9.91078568,1.31E+12,1.37E+12,1.44E+12
Austria,AUT,10.43403149,5.16E+11,4.97E+11,5.23E+11
Azerbaijan,AZE,4.03829002,1.51E+11,1.46E+11,1.61E+11
"Bahamas, The",BHS,5.74977493,14825323453,11429658543,13537883108
Bahrain,BHR,4.01147509,77502717906,74565280474,79392034653
Bangladesh,BGD,2.48357606,9.43E+11,9.87E+11,1.10E+12
Barbados,BRB,6.29990387,4636528984,4036347784,4262929980
Belarus,BLR,5.86133957,1.89E+11,1.90E+11,2.03E+11
Belgium,BEL,10.65604973,6.24E+11,6.13E+11,6.83E+11
Belize,BLZ,5.96689224,2909884172,2451671311,2802598958
Benin,BEN,2.38842916,40431322637,42493487504,47180359906
Bermuda,BMU,..,5440684022,5128888009,5440977856
Bhutan,BTN,3.60761595,9436049420,8587507955,..
Bolivia,BOL,6.9233799,1.05E+11,96689230653,1.07E+11
Bosnia and Herzegovina,BIH,9.04909897,51862764232,51175564234,54977717993
Botswana,BWA,6.04836559,39385921295,36382213329,42200357919
Brazil,BRA,9.5912714,3.24E+12,3.15E+12,3.44E+12
British Virgin Islands,VGB,..,..,..,..
Brunei Darussalam,BRN,2.16031361,28042411245,28702100628,29414804856
Bulgaria,BGR,7.12611389,1.71E+11,1.70E+11,1.84E+11
Burkina Faso,BFA,5.46494246,46075097669,47530529152,52924624146
Burundi,BDI,7.99091434,9030260919,9168995941,9721452802
Cabo Verde,CPV,4.93621731,4110502362,3545047474,3949066551
Cambodia,KHM,6.98908329,75409912182,73955944078,79360287090
Cameroon,CMR,3.59539533,1.01E+11,1.03E+11,1.11E+11
Canada,CAN,10.84447765,1.85E+12,1.77E+12,1.99E+12
Cayman Islands,CYM,..,4990376934,4763452231,..
Central African Republic,CAF,7.75300884,4678688207,4777693076,5021009904
Chad,TCD,4.3536315,26253249341,26144546217,26904179972
Channel Islands,CHI,..,..,..,..
Chile,CHL,9.33272362,4.80E+11,4.80E+11,5.59E+11
China,CHN,5.3502779,2.34E+13,2.43E+13,2.73E+13
Colombia,COL,7.70943594,7.89E+11,7.57E+11,8.66E+11
Comoros,COM,5.17030334,2712711222,2737360358,2918046212
"Congo, Dem. Rep.",COD,3.53626084,99313346532,1.02E+11,1.13E+11
"Congo, Rep.",COG,2.08331084,21452949926,20356857919,20460664009
Costa Rica,CRI,7.27393246,1.14E+11,1.13E+11,1.20E+11
Cote d'Ivoire,CIV,3.29862952,1.40E+11,1.44E+11,1.61E+11
Croatia,HRV,6.97861767,1.24E+11,1.16E+11,1.32E+11
Cuba,CUB,11.34020519,..,..,..
Curacao,CUW,..,3882142806,3204496824,..
Cyprus,CYP,7.00903225,37340859738,35317532450,38301478414
Czechia,CZE,7.83470726,4.57E+11,4.45E+11,4.74E+11
Denmark,DNK,9.95583057,3.41E+11,3.51E+11,3.79E+11
Djibouti,DJI,1.79826784,5337051289,5466301003,5938814268
Dominica,DMA,5.46006632,922747197.3,778800433.8,864177994.7
Dominican Republic,DOM,5.929142,2.06E+11,1.95E+11,2.28E+11
Ecuador,ECU,7.81824684,2.06E+11,1.92E+11,2.09E+11
"Egypt, Arab Rep.",EGY,4.73997355,1.23E+12,1.29E+12,1.39E+12
El Salvador,SLV,7.16578436,59027472792,54612511534,63025598619
Equatorial Guinea,GNQ,3.13503671,26286272020,25474719319,26282444539
Eritrea,ERI,4.45876694,..,..,..
Estonia,EST,6.7304492,50223187687,50048531249,56083239282
Eswatini,SWZ,6.78069067,10353996317,10284873742,11507754000
Ethiopia,ETH,3.23808599,2.59E+11,2.79E+11,3.06E+11
Faroe Islands,FRO,..,..,..,..
Fiji,FJI,3.81607008,12692388354,10899184264,10888758812
Finland,FIN,9.15348339,2.78E+11,2.82E+11,3.05E+11
France,FRA,11.05747223,3.30E+12,3.17E+12,3.42E+12
French Polynesia,PYF,..,..,..,..
Gabon,GAB,2.76836205,33841472240,33619920387,35544083368
"Gambia, The",GMB,3.82171082,5447372732,5501899807,6052951975
Georgia,GEO,6.65744257,58115885124,54840076153,63035796527
Ghana,GHA,3.41858864,1.76E+11,1.79E+11,1.96E+11
Gibraltar,GIB,..,..,..,..
Greece,GRC,7.83788586,3.25E+11,2.99E+11,3.34E+11
Greenland,GRL,..,..,..,..
Grenada,GRD,4.96524,1968934802,1718563487,1885137109
Guam,GUM,..,..,..,..
Guatemala,GTM,6.21161032,1.50E+11,1.49E+11,1.67E+11
Guinea,GIN,3.98389959,34158403647,36173203713,38853052641
Guinea-Bissau,GNB,8.34976101,3882435325,3834926315,4146064483
Guyana,GUY,4.93048668,10672596690,15497551857,19358092547
Haiti,HTI,4.72808981,36076067068,35290173969,36095639133
Honduras,HND,7.2839179,58264953973,53680916828,62919565687
"Hong Kong SAR, China",HKG,..,4.66E+11,4.41E+11,4.89E+11
Hungary,HUN,6.35002232,3.27E+11,3.24E+11,3.57E+11
Iceland,ISL,8.63868046,21017252184,19648531128,21461470171
India,IND,3.0141468,9.53E+12,9.01E+12,1.02E+13
Indonesia,IDN,2.90493584,3.33E+12,3.30E+12,3.57E+12
"Iran, Islamic Rep.",IRN,6.71061659,1.29E+12,1.33E+12,..
Iraq,IRQ,4.47671509,4.46E+11,4.00E+11,4.29E+11
Ireland,IRL,6.67931509,4.31E+11,4.65E+11,5.35E+11
Isle of Man,IMN,..,..,..,..
Israel,ISR,7.46131897,3.62E+11,3.64E+11,4.09E+11
Italy,ITA,8.66856861,2.65E+12,2.50E+12,2.71E+12
Jamaica,JAM,6.09748316,30041881850,27363561327,29811646923
Japan,JPN,10.74372482,5.35E+12,5.32E+12,5.40E+12
Jordan,JOR,7.58246946,1.06E+11,1.06E+11,1.12E+11
Kazakhstan,KAZ,2.78745675,5.08E+11,5.02E+11,5.43E+11
Kenya,KEN,4.59182692,2.44E+11,2.47E+11,2.76E+11
Kiribati,KIR,10.26414394,257741353.1,259420938.3,..
"Korea, Dem. People's Rep.",PRK,..,..,..,..
"Korea, Rep.",KOR,8.1641655,2.23E+12,2.34E+12,2.43E+12
Kosovo,XKX,..,21101879141,20215726097,22977645490
Kuwait,KWT,5.49601221,2.19E+11,2.02E+11,..
Kyrgyz Republic,KGZ,4.49454117,35381873524,32800995971,35397528302
Lao PDR,LAO,2.59852362,58929384912,59939628583,64008799938
Latvia,LVA,6.57814217,61018882726,59721423981,64909961686
Lebanon,LBN,8.64661503,1.04E+11,77651647488,72370450846
Lesotho,LSO,11.26946354,5883198403,5504168915,5791126215
Liberia,LBR,8.47005749,7563043545,7425910175,8043864340
Libya,LBY,..,1.54E+11,1.19E+11,1.63E+11
Liechtenstein,LIE,..,..,..,..
Lithuania,LTU,7.00600433,1.08E+11,1.09E+11,1.19E+11
Luxembourg,LUX,5.37075996,72752104682,74292443521,86117109487
"Macao SAR, China",MAC,..,84951341159,39538790905,48590726567
Madagascar,MDG,3.68728375,45492959792,42753630142,46490572424
Malawi,MWI,7.39341164,29843546324,30444856441,32582425635
Malaysia,MYS,3.82514191,9.46E+11,9.04E+11,9.71E+11
Maldives,MDV,8.04001141,10796439366,7266174293,9911412878
Mali,MLI,3.89389849,47566295896,47544840719,51040719779
Malta,MLT,8.21444321,23896511205,22284590647,24662121178
Marshall Islands,MHL,16.34140015,248035504,245483274.3,249291905.6
Mauritania,MRT,3.30329728,25206052252,25060023691,26701625985
Mauritius,MUS,6.19943714,30168177387,25984165904,28157345263
Mexico,MEX,5.43305254,2.53E+12,2.41E+12,2.61E+12
"Micronesia, Fed. Sts.",FSM,11.4420805,411012942.4,408623148.7,412033835.8
Moldova,MDA,6.3779459,36180472488,33914165325,40249130836
Monaco,MCO,1.5251174,..,..,..
Mongolia,MNG,3.76607823,41969237521,40539157201,42823711816
Montenegro,MNE,8.32983208,14351792495,12419691760,14137096113
Morocco,MAR,5.30845118,2.91E+11,2.76E+11,3.09E+11
Mozambique,MOZ,7.83351135,40565298839,40547635700,43172137567
Myanmar,MMR,4.67856407,2.67E+11,2.79E+11,2.38E+11
Namibia,NAM,8.49700546,25502049005,23779256826,25369378503
Nauru,NRU,9.78171635,151736045.1,155329933.4,164211233.5
Nepal,NPL,4.44515085,1.18E+11,1.16E+11,1.26E+11
Netherlands,NLD,10.13031101,1.02E+12,1.03E+12,1.12E+12
New Caledonia,NCL,..,..,..,..
New Zealand,NZL,9.74117661,2.27E+11,2.27E+11,2.38E+11
Nicaragua,NIC,8.4039259,37149423254,36924394383,42437268793
Niger,NER,5.6686306,29745628654,31181863188,32916699297
Nigeria,NGA,3.02666044,1.08E+12,1.07E+12,1.15E+12
North Macedonia,MKD,7.25409985,36438538745,34652076034,37002477608
Northern Mariana Islands,MNP,..,..,..,..
Norway,NOR,10.52134705,3.57E+11,3.37E+11,4.28E+11
Oman,OMN,4.07190228,1.62E+11,1.59E+11,..
Pakistan,PAK,3.37992716,1.20E+12,1.20E+12,1.32E+12
Palau,PLW,15.15048885,323192183.1,295237539.5,..
Panama,PAN,7.58405781,1.39E+11,1.16E+11,1.39E+11
Papua New Guinea,PNG,2.30036092,39262401529,38344859419,40537303554
Paraguay,PRY,7.17281008,92622644896,92970506797,1.01E+11
Peru,PER,5.21506882,4.36E+11,3.93E+11,4.64E+11
Philippines,PHL,4.07676649,1.00E+12,9.20E+11,1.01E+12
Poland,POL,6.44682503,1.28E+12,1.30E+12,1.42E+12
Portugal,PRT,9.53145981,3.72E+11,3.52E+11,3.70E+11
Puerto Rico,PRI,..,1.16E+11,1.13E+11,..
Qatar,QAT,2.9106288,2.66E+11,2.59E+11,2.74E+11
Romania,ROU,5.74447823,6.17E+11,6.20E+11,6.77E+11
Russian Federation,RUS,5.64849138,4.41E+12,4.38E+12,4.79E+12
Rwanda,RWA,6.41066742,29313776896,28670603112,33112304814
Samoa,WSM,6.36309385,1361432454,1342156348,1284995422
San Marino,SMR,6.39008522,2139935756,2021751373,..
Sao Tome and Principe,STP,5.52976227,897693236.8,936583091.4,993060610.2
Saudi Arabia,SAU,5.68828773,1.68E+12,1.63E+12,1.75E+12
Senegal,SEN,4.13226938,57207049053,58663949709,64807161046
Serbia,SRB,8.67206478,1.31E+11,1.32E+11,1.47E+11
Seychelles,SYC,5.1902914,2987850188,2790312368,2959935893
Sierra Leone,SLE,8.74976635,13885306125,13775967174,14786065119
Singapore,SGP,4.08152914,5.84E+11,5.67E+11,6.35E+11
Sint Maarten (Dutch part),SXM,..,..,..,..
Slovak Republic,SVK,6.9586463,1.74E+11,1.71E+11,1.80E+11
Slovenia,SVN,8.52386475,84936451275,83519139710,91917491837
Solomon Islands,SLB,4.77362394,1857280227,1798468948,1869881544
Somalia,SOM,..,19095532299,19797265599,21307471986
South Africa,ZAF,9.10935497,8.37E+11,7.92E+11,8.66E+11
South Sudan,SSD,6.04213858,..,..,..
Spain,ESP,9.13213158,1.97E+12,1.79E+12,1.93E+12
Sri Lanka,LKA,4.07979679,2.97E+11,2.90E+11,3.13E+11
St. Kitts and Nevis,KNA,5.39632845,1574434835,1363802433,1405919598
St. Lucia,LCA,4.32460737,2895914918,2333703228,2591085573
St. Martin (French part),MAF,..,..,..,..
St. Vincent and the Grenadines,VCT,4.75291252,1551704455,1486975992,1560150430
Sudan,SDN,4.57356596,1.86E+11,1.82E+11,1.89E+11
Suriname,SUR,9.7369957,11534348344,9816371214,9868609444
Sweden,SWE,10.86749268,5.61E+11,5.70E+11,6.18E+11
Switzerland,CHE,11.29148102,6.18E+11,6.20E+11,6.73E+11
Syrian Arab Republic,SYR,..,..,..,..
Tajikistan,TJK,7.10529375,34791287804,36759888570,41809911367
Tanzania,TZA,3.82769322,1.56E+11,1.61E+11,1.75E+11
Thailand,THA,3.78912091,1.34E+12,1.27E+12,1.34E+12
Timor-Leste,TLS,7.15850592,4887651462,5459609085,5936680886
Togo,TGO,5.72606897,17873763804,18406256349,20179618498
Tonga,TON,4.98149967,694540271.4,707513060.9,..
Trinidad and Tobago,TTO,7.02007389,39002676316,36561916905,37705982751
Tunisia,TUN,6.95845938,1.39E+11,1.29E+11,1.38E+11
Turkiye,TUR,4.34409809,2.24E+12,2.30E+12,2.59E+12
Turkmenistan,TKM,6.56862497,96227533618,..,..
Turks and Caicos Islands,TCA,..,1164367292,862791054.4,917514720.2
Tuvalu,TUV,23.96181297,54997299.81,56503481.9,60608169
Uganda,UGA,3.82522416,1.01E+11,1.05E+11,1.13E+11
Ukraine,UKR,7.09860182,5.61E+11,5.46E+11,5.88E+11
United Arab Emirates,ARE,4.27504921,6.95E+11,6.60E+11,..
United Kingdom,GBR,10.15402699,3.28E+12,3.12E+12,3.34E+12
United States,USA,16.76706314,2.14E+13,2.09E+13,2.30E+13
Uruguay,URY,9.34783173,83098233498,78951615237,85823441002
Uzbekistan,UZB,5.61760426,2.57E+11,2.65E+11,2.97E+11
Vanuatu,VUT,3.36034679,974055485.8,932543265.1,976457789.2
"Venezuela, RB",VEN,5.36708355,..,..,..
Vietnam,VNM,5.24965572,1.02E+12,1.06E+12,1.13E+12
Virgin Islands (U.S.),VIR,..,..,..,..
West Bank and Gaza,PSE,..,30496822142,27371005984,30518341297
"Yemen, Rep.",YEM,..,..,..,..
Zambia,ZMB,5.31220293,64601642092,63559367707,68565715832
Zimbabwe,ZWE,7.70356494,35268557271,33463221326,36892483563
Europe & Central Asia (excluding high income),ECA,5.386187326,9.09E+12,9.08E+12,1.00E+13
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 09/16/2022,,,,,