Country Name,Country Code,health_expenditure_prop_GDP_2019,GDP_capita_2019,Unemployment_rate_2019,GDP_capita_2020,Unemployment_rate_2020
Afghanistan,AFG,13.24220181,2152.190243,11.21700001,2078.479082,11.71000004
Albania,ALB,..,13999.42397,11.47000027,13632.18654,13.32900047
Algeria,DZA,6.24337101,12008.26483,10.51299953,11323.31222,12.55000019
Angola,AGO,2.53335953,6995.299736,7.421000004,6478.332182,8.333000183
Argentina,ARG,9.5100708,22997.39176,9.840000153,20769.03238,11.46000004
Armenia,ARM,11.33526421,14230.01487,18.29999924,13311.02814,21.20599937
Australia,AUS,9.91078568,51748.39772,5.159999847,53316.88543,6.460000038
Austria,AUT,10.43403149,58076.3488,4.489999771,55685.97029,5.360000134
Azerbaijan,AZE,4.03829002,15051.56128,4.849999905,14478.52445,6.462999821
"Bahamas, The",BHS,5.74977493,38063.81604,10.06099987,29064.7595,13.3210001
Bahrain,BHR,4.01147509,47224.23713,1.19599998,43821.12449,1.781000018
Bangladesh,BGD,2.48357606,5784.269636,4.438000202,5995.407429,5.413000107
Barbados,BRB,6.29990387,16153.97126,8.409999847,14045.77283,10.37699986
Belarus,BLR,5.86133957,20092.88037,4.159999847,20237.55113,4.768000126
Belgium,BEL,10.65604973,54278.38945,5.360000134,53070.21482,5.550000191
Belize,BLZ,5.96689224,7454.532388,6.710999966,6165.849669,8.461999893
Benin,BEN,2.38842916,3426.049089,1.470000029,3505.138455,1.583999991
Bhutan,BTN,3.60761595,12365.51384,2.502000093,11129.30845,3.648999929
Bolivia,BOL,6.9233799,9092.687044,3.819999933,8283.131195,7.900000095
Bosnia and Herzegovina,BIH,9.04909897,15711.2377,15.68999958,15598.43034,15.26500034
Botswana,BWA,6.04836559,17096.78778,22.61000061,15471.09481,24.93000031
Brazil,BRA,9.5912714,15358.08949,11.93000031,14834.1937,13.68999958
Brunei Darussalam,BRN,2.16031361,64718.8325,6.920000076,65607.35075,7.68200016
Bulgaria,BGR,7.12611389,24497.62727,4.230000019,24564.43768,5.119999886
Burkina Faso,BFA,5.46494246,2267.320963,4.69299984,2273.831365,4.894999981
Burundi,BDI,7.99091434,783.1577656,1.588999987,771.1012372,1.707000017
Cabo Verde,CPV,4.93621731,7474.510419,12.21899986,6376.122279,15.30599976
Cambodia,KHM,6.98908329,4574.028452,0.147,4423.474631,0.331
Cameroon,CMR,3.59539533,3900.822515,3.638000011,3867.203808,3.836999893
Canada,CAN,10.84447765,49299.21177,5.659999847,46572.13743,9.460000038
Central African Republic,CAF,7.75300884,985.9877166,5.623000145,989.2187437,6.356999874
Chad,TCD,4.3536315,1646.293573,1.123000026,1591.669953,1.741999984
Chile,CHL,9.33272362,25322.71106,7.289999962,25089.0313,11.18000031
China,CHN,5.3502779,16652.0988,4.519999981,17189.28179,5
Colombia,COL,7.70943594,15673.09435,9.960000038,14868.46982,15.03999996
Comoros,COM,5.17030334,3188.083106,8.081999779,3147.856597,9.222999573
"Congo, Dem. Rep.",COD,3.53626084,1144.287321,4.451000214,1141.726007,5.265999794
"Congo, Rep.",COG,2.08331084,3987.163642,20.62199974,3689.111729,22.84300041
Costa Rica,CRI,7.27393246,22632.44207,11.48999977,22243.80196,17.40999985
Cote d'Ivoire,CIV,3.29862952,5432.547727,3.318000078,5465.068781,3.487999916
Croatia,HRV,6.97861767,30543.93375,6.619999886,28780.31674,7.510000229
Cuba,CUB,11.34020519,..,1.735000014,..,2.624000072
Cyprus,CYP,7.00903225,42338.87891,7.070000172,39593.42578,7.590000153
Czechia,CZE,7.83470726,42847.00474,2.00999999,41608.02535,2.549999952
Denmark,DNK,9.95583057,58700.97467,5.019999981,60229.91477,5.639999866
Djibouti,DJI,1.79826784,5482.012136,26.35700035,5532.682123,28.38999939
Dominican Republic,DOM,5.929142,19190.00888,6.360000134,17934.19325,6.130000114
Ecuador,ECU,7.81824684,11850.49495,3.809999943,10890.45664,6.110000134
"Egypt, Arab Rep.",EGY,4.73997355,12259.71657,7.840000153,12605.97574,9.166999817
El Salvador,SLV,7.16578436,9146.512043,4.170000076,8419.799438,6.248000145
Equatorial Guinea,GNQ,3.13503671,19385.41369,8.678999901,18157.51367,9.901000023
Eritrea,ERI,4.45876694,..,5.993999958,..,7.864999771
Estonia,EST,6.7304492,37851.30077,4.449999809,37645.22136,6.800000191
Eswatini,SWZ,6.78069067,9018.115773,22.83699989,8865.017138,25.50900078
Ethiopia,ETH,3.23808599,2315.158138,2.325999975,2422.681026,3.236999989
Fiji,FJI,3.81607008,14261.83161,4.447999954,12158.24331,4.715000153
Finland,FIN,9.15348339,50321.53969,6.690000057,50937.16075,7.760000229
France,FRA,11.05747223,49072.36383,8.409999847,46991.18203,8.010000229
Gabon,GAB,2.76836205,15576.64316,20.74200058,15105.13431,21.97200012
"Gambia, The",GMB,3.82171082,2320.305837,9.498000145,2276.650708,11.08100033
Georgia,GEO,6.65744257,15621.87366,11.56999969,14731.20059,18.5
Germany,DEU,11.69724941,55652.88749,3.140000105,54844.54597,3.809999943
Ghana,GHA,3.41858864,5773.860982,4.315999985,5749.655385,4.651000023
Greece,GRC,7.83788586,30356.2664,17.30999947,27948.64973,16.29999924
Guam,GUM,..,..,5.514999866,..,6.802000046
Guatemala,GTM,6.21161032,9018.51752,2.190000057,8852.947743,3.552999973
Guinea,GIN,3.98389959,2674.633599,5.019999981,2754.418384,6.103000164
Guinea-Bissau,GNB,8.34976101,2021.136428,6.035999775,1948.643401,6.736999989
Guyana,GUY,4.93048668,13634.30959,13.99199963,19702.97442,16.43099976
Haiti,HTI,4.72808981,3203.037737,13.91499996,3094.941621,15.45100021
Honduras,HND,7.2839179,5978.274828,5.699999809,5419.792164,8.373000145
"Hong Kong SAR, China",HKG,..,62103.41335,2.930000067,58980.01105,5.829999924
Hungary,HUN,6.35002232,33514.94179,3.420000076,33274.34766,4.25
Iceland,ISL,8.63868046,58290.09683,3.50999999,53616.68471,5.480000019
India,IND,3.0141468,6971.687276,5.269999981,6525.428052,7.997000217
Indonesia,IDN,2.90493584,12310.62737,3.619999886,12072.43996,4.28000021
"Iran, Islamic Rep.",IRN,6.71061659,15532.51636,10.73999977,15791.15951,12.16899967
Iraq,IRQ,4.47671509,11349.40215,12.86299992,9954.345263,14.0880003
Ireland,IRL,6.67931509,87379.69297,4.949999809,93350.08753,5.619999886
Isle of Man,IMN,..,..,..,..,..
Israel,ISR,7.46131897,40004.03051,3.799999952,39489.28078,4.329999924
Italy,ITA,8.66856861,44376.1625,9.949999809,41987.81596,9.159999847
Jamaica,JAM,6.09748316,10189.6402,7.690000057,9240.821869,9.479999542
Japan,JPN,10.74372482,42282.55089,2.400000095,42100.25769,2.799999952
Jordan,JOR,7.58246946,10496.43835,16.80999947,10354.16403,19.02599907
Kazakhstan,KAZ,2.78745675,27463.97155,4.800000191,26750.44623,4.889999866
Kenya,KEN,4.59182692,4647.409761,5.010000229,4587.18632,5.729000092
Kiribati,KIR,10.26414394,2191.529089,..,2171.867943,..
"Korea, Dem. People's Rep.",PRK,..,..,2.59100008,..,2.921000004
"Korea, Rep.",KOR,8.1641655,42998.38824,3.75,45225.84454,3.930000067
Kosovo,XKX,..,11796.15331,..,11292.86265,..
Kuwait,KWT,5.49601221,52054.71258,2.167000055,47303.12985,3.539000034
Kyrgyz Republic,KGZ,4.49454117,5480.293907,6.918000221,4985.029555,8.706000328
Lao PDR,LAO,2.59852362,8219.505763,0.851999998,8238.494568,1.034000039
Latvia,LVA,6.57814217,31883.25911,6.309999943,31424.90221,8.100000381
Lebanon,LBN,8.64661503,15105.05921,11.35000038,11376.79398,13.29699993
Lesotho,LSO,11.26946354,2768.216136,22.44000053,2569.337741,24.56299973
Liberia,LBR,8.47005749,1531.794745,3.015000105,1468.245239,3.980000019
Libya,LBY,..,22764.47805,19.65500069,17286.36814,20.06599998
Liechtenstein,LIE,..,..,..,..,..
Lithuania,LTU,7.00600433,38540.78145,6.260000229,38880.54527,8.489999771
Luxembourg,LUX,5.37075996,117341.9151,5.590000153,117846.1365,6.769999981
"Macao SAR, China",MAC,..,132644.0343,1.75,60890.54906,2.569999933
Madagascar,MDG,3.68728375,1686.842064,1.856999993,1543.952938,2.473999977
Malawi,MWI,7.39341164,1602.01559,5.751999855,1591.475591,6.701000214
Malaysia,MYS,3.82514191,29620.97866,3.25999999,27921.41095,4.504000187
Maldives,MDV,8.04001141,20333.92415,5.340000153,13442.38615,6.328000069
Mali,MLI,3.89389849,2419.688689,7.441999912,2347.796674,7.696000099
Malta,MLT,8.21444321,47407.88079,3.619999886,43243.17265,4.260000229
Mauritania,MRT,3.30329728,5569.539163,10.39299965,5389.646488,11.27000046
Mauritius,MUS,6.19943714,23834.965,6.329999924,20528.83365,7.407000065
Mexico,MEX,5.43305254,19862.5632,3.480000019,18670.8104,4.449999809
Moldova,MDA,6.3779459,13576.29474,5.099999905,12941.89278,3.819999933
Monaco,MCO,1.5251174,..,..,..,..
Mongolia,MNG,3.76607823,13013.04724,5.43900013,12365.93848,7.010000229
Montenegro,MNE,8.32983208,23072.58274,15.11999989,19989.65367,17.89999962
Morocco,MAR,5.30845118,7865.262207,9.279999733,7368.891602,11.45400047
Mozambique,MOZ,7.83351135,1335.877014,3.46600008,1297.298716,3.809999943
Myanmar,MMR,4.67856407,4939.747975,0.5,5123.407709,1.057999969
Namibia,NAM,8.49700546,10223.21253,19.98800087,9358.537168,21.44599915
Nauru,NRU,9.78171635,14096.62255,..,14337.26541,..
Nepal,NPL,4.44515085,4119.584979,3.096999884,3996.66547,4.723999977
Netherlands,NLD,10.13031101,59004.32497,3.380000114,59266.90858,3.819999933
New Caledonia,NCL,..,..,14.90999985,..,16.42900085
New Zealand,NZL,9.74117661,45554.8094,4.110000134,44657.77372,4.590000153
Nicaragua,NIC,8.4039259,5675.564316,5.210999966,5573.868729,6.078000069
Niger,NER,5.6686306,1276.049385,0.55400002,1288.153512,0.624000013
Nigeria,NGA,3.02666044,5352.241119,8.529999733,5185.988584,9.713999748
North Macedonia,MKD,7.25409985,17546.41692,17.26000023,16719.6901,17.20000076
Norway,NOR,10.52134705,66799.16472,3.690000057,62644.84574,4.420000076
Oman,OMN,4.07190228,32604.34544,1.84800005,31117.75771,2.940000057
Pakistan,PAK,3.37992716,5542.208851,3.542000055,5426.019788,4.302999973
Palau,PLW,15.15048885,17954.12383,..,16318.67895,..
Panama,PAN,7.58405781,32767.18697,4.725999832,26780.3006,12.85400009
Papua New Guinea,PNG,2.30036092,4473.77725,2.448999882,4285.765475,2.595000029
Paraguay,PRY,7.17281008,13147.96186,6.590000153,13034.71654,7.550000191
Peru,PER,5.21506882,13401.00669,3.380000114,11908.0607,7.179999828
Philippines,PHL,4.07676649,9290.966062,2.24000001,8394.242258,2.519999981
Poland,POL,6.44682503,33797.76736,3.279999971,34286.98508,3.160000086
Portugal,PRT,9.53145981,36172.07254,6.460000038,34177.08571,6.789999962
Puerto Rico,PRI,..,36273.87183,8.300000191,34333.74725,8.890000343
Qatar,QAT,2.9106288,93844.06063,0.100000001,89961.43323,0.214000002
Romania,ROU,5.74447823,31867.26319,3.910000086,32202.20866,5.03000021
Russian Federation,RUS,5.64849138,30067.74023,4.5,29916.01367,5.590000153
Rwanda,RWA,6.41066742,2321.526953,1.09800005,2213.568598,1.485000014
Samoa,WSM,6.36309385,6907.563708,8.406000137,6764.559991,9.149000168
San Marino,SMR,6.39008522,63192.05517,..,59571.9068,..
Sao Tome and Principe,STP,5.52976227,4174.385425,14.14400005,4273.49342,15.74600029
Saudi Arabia,SAU,5.68828773,48983.55126,5.672999859,46778.29837,7.449999809
Senegal,SEN,4.13226938,3510.418402,2.859999895,3503.595017,3.622999907
Serbia,SRB,8.67206478,18822.36077,10.39000034,19093.95531,9.010000229
Seychelles,SYC,5.1902914,30605.37964,..,28338.97714,..
Sierra Leone,SLE,8.74976635,1777.158358,4.649000168,1726.964157,5.195000172
Singapore,SGP,4.08152914,102431.3157,3.099999905,99681.29415,4.099999905
Slovak Republic,SVK,6.9586463,31966.55484,5.75,31356.45828,6.690000057
Slovenia,SVN,8.52386475,40670.87787,4.449999809,39725.25919,4.96999979
Solomon Islands,SLB,4.77362394,2772.800833,0.754999995,2618.323702,0.916000009
Somalia,SOM,..,1236.524544,18.82799911,1245.642283,19.72299957
South Africa,ZAF,9.10935497,14288.58989,28.46999931,13359.48433,29.21999931
South Sudan,SSD,6.04213858,..,12.22599983,..,14.02999973
Spain,ESP,9.13213158,41695.14695,14.10000038,37756.351,15.52999973
Sri Lanka,LKA,4.07979679,13631.5552,4.349999905,13226.73006,5.877999783
Sudan,SDN,4.57356596,4349.709961,17.65399933,4142.11084,19.64900017
Suriname,SUR,9.7369957,19840.18306,8.039999962,16733.38268,9.777999878
Sweden,SWE,10.86749268,54598.78035,6.829999924,55064.88501,8.289999962
Switzerland,CHE,11.29148102,72033.92944,4.389999866,71745.2994,4.820000172
Tajikistan,TJK,7.10529375,3732.561094,7.06099987,3854.190435,7.583000183
Tanzania,TZA,3.82769322,2772.928467,2.221999884,2779.683594,2.528000116
Thailand,THA,3.78912091,19216.84294,0.720000029,18197.94241,1.100000024
Timor-Leste,TLS,7.15850592,3779.735417,4.505000114,4140.95507,4.90500021
Togo,TGO,5.72606897,2211.453835,3.719000101,2223.316956,3.944999933
Tonga,TON,4.98149967,6646.509196,3.062000036,6693.785641,3.628000021
Trinidad and Tobago,TTO,7.02007389,27959.52908,3.421999931,26125.15329,4.56799984
Tunisia,TUN,6.95845938,11902.86201,15.13000011,10878.82319,16.59199905
Turkiye,TUR,4.34409809,26867.47031,13.67000008,27235.42583,13.10999966
Turkmenistan,TKM,6.56862497,16194.21262,4.268000126,..,4.951000214
Tuvalu,TUV,23.96181297,4718.773043,..,4791.679265,..
Uganda,UGA,3.82522416,2275.02815,1.924999952,2294.147984,2.767999887
Ukraine,UKR,7.09860182,13345.38281,8.18999958,13087.30957,9.131999969
United Arab Emirates,ARE,4.27504921,71144.71598,2.230000019,66766.05393,3.187999964
United Kingdom,GBR,10.15402699,49041.46355,3.74000001,46526.91187,4.472000122
United States,USA,16.76706314,65094.79943,3.670000076,63027.67953,8.050000191
Uruguay,URY,9.34783173,24004.82114,8.880000114,22728.21533,10.35000038
Uzbekistan,UZB,5.61760426,7658.27241,5.849999905,7746.430969,7.040999889
Vanuatu,VUT,3.36034679,3248.129217,1.800999999,3036.116767,2.118999958
"Venezuela, RB",VEN,5.36708355,..,5.096000195,..,6.626999855
Vietnam,VNM,5.24965572,10561.97128,2.039999962,10904.45215,2.390000105
"Yemen, Rep.",YEM,..,..,13.05599976,..,13.39099979
Zambia,ZMB,5.31220293,3616.903819,12.52000046,3457.328102,12.84799957
Zimbabwe,ZWE,7.70356494,2408.154197,4.833000183,2251.455674,5.350999832
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 09/16/2022,,,,,,